cliente_id,nome_cliente,tipo_cliente,nif,data_registo,cidade,distrito,canal_captacao,score_atividade,obs_comercial
C0266,Supermercado 266,Supermercado,233513143,2021/12/05,Vila Nova de Gaia,Porto,E-commerce,2.802,
C0267,Restaurante 267,Restaurante,241475819,2024-10-22,Vila Nova de Gaia,Porto,Telefone,0.538,
C0268,Restaurante 268,Restaurante,208199591,28/09/2023,Espinho,Aveiro,E-commerce,0.924,cliente estratégico
C0269,Restaurante 269,Restaurante,264151723,2021-09-13,Aveiro,Aveiro,Telefone,0.784,cliente estratégico
C0270,Restaurante 270,Restaurante,222625520,07/11/2022,Espinho,Aveiro,E-commerce,2.347,follow-up trimestral
C0271,Supermercado 271,Supermercado,227053676,2025-01-26,Porto,Porto,E-commerce,2.442,
C0272,Hotel 272,Hotel,211175576,28/07/2023,Porto,Porto,Telefone,1.205,
C0273,Supermercado 273,Supermercado,277125704,01/09/2024,Guimarães,Braga,Marketplace,1.931,
C0274,Restaurante 274,Restaurante,202924106,2021-10-21,Santo Tirso,Porto,E-commerce,1.193,
C0275,Take-away 275,Take-away,205157842,22/10/2024,Maia,Porto,Telefone,1.137,
C0276,Restaurante 276,Restaurante,235083779,2024/08/31,Matosinhos,Porto,E-commerce,0.912,cliente estratégico
C0277,Particular 277,Particular,206072631,2024-11-07,Braga,Braga,E-commerce,0.178,
C0278,Hotel 278,Hotel,266333681,06/08/2023,Viana do Castelo,Viana do Castelo,E-commerce,1.647,
C0279,Particular 279,Particular,270840911,08/03/2025,Santo Tirso,Porto,Telefone,0.26,cliente estratégico
C0280,Restaurante 280,Restaurante,212281974,2023-01-02,Vila Nova de Gaia,Porto,E-commerce,0.534,cliente estratégico
C0281,Restaurante 281,Restaurante,263428148,2021-06-16,Viana do Castelo,Viana do Castelo,E-commerce,0.972,cliente estratégico
C0282,Hotel 282,Hotel,222694851,08/05/2024,Aveiro,Aveiro,Telefone,2.444,
C0283,Take-away 283,Take-away,250313114,08/09/2021,Santo Tirso,Porto,E-commerce,0.38,
C0284,Take-away 284,Take-away,268449050,15/10/2024,Aveiro,Aveiro,E-commerce,1.683,follow-up trimestral
C0285,Hotel 285,Hotel,232030302,2025/04/02,Maia,Porto,Vendas Externas,0.719,cliente estratégico
C0286,Supermercado 286,Supermercado,251529235,2022/05/10,Espinho,Aveiro,E-commerce,1.553,
C0287,Take-away 287,Take-away,220998865,2021-01-20,Póvoa de Varzim,Porto,Vendas Externas,0.612,
C0288,Restaurante 288,Restaurante,240247000,08/07/2024,Valongo,Porto,Marketplace,0.884,cliente estratégico
C0289,Hotel 289,Hotel,246254207,05/11/2023,Matosinhos,Porto,Vendas Externas,2.09,cliente estratégico
C0290,Take-away 290,Take-away,239974741,2023-09-17,Porto,Porto,Telefone,0.488,
C0291,Restaurante 291,Restaurante,238513301,05/11/2022,Braga,Braga,Vendas Externas,0.542,
C0292,Take-away 292,Take-away,235733312,10/11/2022,Espinho,Aveiro,Vendas Externas,1.313,follow-up trimestral
C0293,Restaurante 293,Restaurante,257219747,2021-06-04,Guimarães,Braga,E-commerce,1.443,
C0294,Restaurante 294,Restaurante,258722146,31/03/2023,Vila Nova de Gaia,Porto,Marketplace,0.952,
C0295,Restaurante 295,Restaurante,254891724,2023-03-06,Valongo,Porto,Telefone,0.682,
C0296,Take-away 296,Take-away,266742022,2023/02/27,Maia,Porto,Telefone,0.936,
C0297,Particular 297,Particular,257732402,2025-05-14,Valongo,Porto,Vendas Externas,0.205,cliente estratégico
C0298,Restaurante 298,Restaurante,209255296,2022-01-21,Santo Tirso,Porto,E-commerce,0.67,follow-up trimestral
C0299,Particular 299,Particular,261553212,2024-10-20,Matosinhos,Porto,E-commerce,0.161,
C0300,Restaurante 300,Restaurante,247746205,2024-09-10,Matosinhos,Porto,Vendas Externas,0.733,
C0301,Supermercado 301,Supermercado,203363764,2021-08-11,Porto,Porto,Telefone,1.904,
C0302,Supermercado 302,Supermercado,257978131,12/06/2021,Aveiro,Aveiro,Vendas Externas,3.342,
C0303,Restaurante 303,Restaurante,248135361,2023-03-07,Viana do Castelo,Viana do Castelo,Vendas Externas,1.125,
C0304,Restaurante 304,Restaurante,230327070,2024-11-12,Porto,Porto,Vendas Externas,1.369,
C0305,Restaurante 305,Restaurante,210650897,03/10/2025,Espinho,Aveiro,E-commerce,0.623,
C0306,Restaurante 306,Restaurante,235123930,2021/09/30,Maia,Porto,Vendas Externas,1.31,cliente estratégico
C0307,Take-away 307,Take-away,225716948,19/12/2023,Póvoa de Varzim,Porto,E-commerce,0.781,
C0308,Take-away 308,Take-away,256535841,2025-07-28,Porto,Porto,E-commerce,0.667,
C0309,Take-away 309,Take-away,227962306,2022-10-26,Viana do Castelo,Viana do Castelo,E-commerce,1.103,
C0310,Restaurante 310,Restaurante,217688934,2021/09/21,Porto,Porto,Telefone,0.968,follow-up trimestral
C0311,Restaurante 311,Restaurante,273544300,24/04/2025,Porto,Porto,E-commerce,0.864,
C0312,Restaurante 312,Restaurante,220287389,2023-12-29,Espinho,Aveiro,E-commerce,2.558,follow-up trimestral
C0313,Particular 313,Particular,266625697,13/11/2021,Vila Nova de Gaia,Porto,Telefone,0.242,
C0314,Restaurante 314,Restaurante,230293075,2021-07-06,Guimarães,Braga,E-commerce,2.24,
C0315,Particular 315,Particular,212334051,19/01/2022,Matosinhos,Porto,E-commerce,0.093,
C0316,Take-away 316,Take-away,252994385,2021/01/20,Espinho,Aveiro,E-commerce,0.765,
C0317,Particular 317,Particular,225299276,27/09/2022,Santo Tirso,Porto,Vendas Externas,0.115,
C0318,Restaurante 318,Restaurante,275970502,2025-07-16,Valongo,Porto,E-commerce,1.393,
C0319,Restaurante 319,Restaurante,218667982,2023-02-23,Póvoa de Varzim,Porto,E-commerce,0.818,
C0320,Supermercado 320,Supermercado,217372211,18/09/2022,Aveiro,Aveiro,Telefone,1.23,
C0168,Hotel 168,Hotel,239893537,2022-03-15,Porto,Porto,Vendas Externas,1.775,
C0231,Restaurante 231,Restaurante,217551595,2024-11-24,Barcelos,Braga,E-commerce,0.725,
